                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1896,                 75.305,                 1.7725,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.07037,              0.0032922,              0.0032922
                      1,                 1.6488,                 3.6902,                 1.3918,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040239,              0.0064943,              0.0064943
                      2,                 1.6467,                 3.8675,                 1.3528,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009976,              0.0095645,              0.0095645
                      3,                 2.0963,                 4.5313,                 1.6249,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                      4,                 1.8922,                 2.9832,                 1.5221,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                      5,                 2.0203,                 3.1598,                 1.5865,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009208,               0.009208,               0.009208
                      6,                 1.9953,                 3.2517,                 1.5317,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                      7,                 2.0781,                 3.0132,                  1.641,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008812,               0.008812,               0.008812
                      8,                 1.9797,                 2.6783,                 1.5117,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008614,               0.008614,               0.008614
                      9,                 2.1494,                 2.6428,                 1.6173,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                     10,                 1.9568,                 2.5569,                 1.6268,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008218,               0.008218,               0.008218
                     11,                 1.8828,                 2.4455,                 1.4646,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                     12,                 1.7721,                 1.9736,                 1.4405,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007822,               0.007822,               0.007822
                     13,                 1.6231,                 2.0107,                 1.3899,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007624,               0.007624,               0.007624
                     14,                 1.7203,                 1.9669,                 1.3548,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007426,               0.007426,               0.007426
                     15,                 1.5854,                 2.0604,                 1.3248,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007228,               0.007228,               0.007228
                     16,                 1.5571,                 1.6323,                 1.3357,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     17,                 1.6807,                 1.8322,                 1.3884,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006832,               0.006832,               0.006832
                     18,                 1.5286,                 1.5312,                 1.3211,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006634,               0.006634,               0.006634
                     19,                 1.4779,                 1.4456,                 1.3018,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006436,               0.006436,               0.006436
                     20,                  1.548,                 1.6245,                 1.2907,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006238,               0.006238,               0.006238
                     21,                 1.4578,                 1.3941,                 1.2579,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     22,                 1.5302,                 1.5525,                 1.3035,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005842,               0.005842,               0.005842
                     23,                 1.4752,                 1.5985,                 1.2952,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005644,               0.005644,               0.005644
                     24,                 1.3878,                 1.6404,                  1.237,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005446,               0.005446,               0.005446
                     25,                 1.4394,                 1.4274,                 1.2514,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005248,               0.005248,               0.005248
                     26,                 1.2717,                 1.3116,                 1.1629,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                     27,                 1.3635,                 1.3358,                  1.211,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004852,               0.004852,               0.004852
                     28,                 1.3058,                 1.2893,                  1.172,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004654,               0.004654,               0.004654
                     29,                 1.2487,                 1.1797,                 1.1524,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004456,               0.004456,               0.004456
                     30,                 1.4226,                 1.5005,                 1.2282,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004258,               0.004258,               0.004258
                     31,                 1.2618,                 1.2286,                 1.1449,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     32,                 1.2242,                 1.1612,                 1.1273,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003862,               0.003862,               0.003862
                     33,                  1.324,                 1.4307,                 1.1744,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003664,               0.003664,               0.003664
                     34,                  1.219,                 1.1404,                 1.1139,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003466,               0.003466,               0.003466
                     35,                 1.0819,                 1.0181,                  1.056,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003268,               0.003268,               0.003268
                     36,                 1.2393,                 1.1904,                 1.1422,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                     37,                 1.1043,                0.94276,                 1.0919,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002872,               0.002872,               0.002872
                     38,                 1.2105,                 1.1078,                 1.1523,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002674,               0.002674,               0.002674
                     39,                 1.1462,                 1.2955,                 1.1183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002476,               0.002476,               0.002476
                     40,                0.97805,                0.85651,                0.99411,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002278,               0.002278,               0.002278
                     41,                 1.0289,                 1.2752,                 1.0374,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     42,                 0.9564,                 1.0462,                 1.0007,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001882,               0.001882,               0.001882
                     43,                0.98203,                 1.0401,                 1.0408,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001684,               0.001684,               0.001684
                     44,                  0.924,                0.91178,                0.99371,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001486,               0.001486,               0.001486
                     45,                 0.8366,                0.80484,                0.94695,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001288,               0.001288,               0.001288
                     46,                0.93418,                0.87188,                 1.0182,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                     47,                0.87686,                0.74196,                0.95507,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000892,               0.000892,               0.000892
                     48,                 0.8212,                0.70073,                0.92975,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000694,               0.000694,               0.000694
