                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3931,                 34.172,                 1.7129,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0829,                 0.0019,                 0.0019
                      1,                 2.2946,                 14.527,                 1.7112,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.064866,              0.0038664,              0.0038664
                      2,                 2.1157,                 9.0095,                 1.6327,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046798,              0.0057984,              0.0057984
                      3,                 1.9612,                 8.1555,                 1.6479,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.028696,               0.007696,               0.007696
                      4,                 1.7543,                 4.1956,                 1.4166,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.010559,              0.0095591,              0.0095591
                      5,                 1.6364,                 3.9892,                 1.3224,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0095696,              0.0095696,              0.0095696
                      6,                 1.7571,                 4.2115,                  1.528,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0095696,              0.0095696,              0.0095696
                      7,                 1.6287,                 4.5268,                 1.2582,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0094835,              0.0094835,              0.0094835
                      8,                 1.6963,                 16.762,                 1.3898,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0093974,              0.0093974,              0.0093974
                      9,                 1.3362,                 4.4467,                 1.1632,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0093113,              0.0093113,              0.0093113
                     10,                 1.4936,                 2.9973,                 1.1248,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0092252,              0.0092252,              0.0092252
                     11,                 1.4538,                 2.5943,                 1.1373,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0091391,              0.0091391,              0.0091391
                     12,                 1.3966,                 2.9246,                 1.1633,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009053,               0.009053,               0.009053
                     13,                 1.4594,                 4.4733,                 1.2161,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008967,               0.008967,               0.008967
                     14,                 1.4084,                 5.2431,                 1.1445,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0088809,              0.0088809,              0.0088809
                     15,                 1.4425,                 2.9393,                 1.1577,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0087948,              0.0087948,              0.0087948
                     16,                  1.351,                 4.5838,                 1.2042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0087087,              0.0087087,              0.0087087
                     17,                 1.3068,                 1.8196,                 1.1319,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0086226,              0.0086226,              0.0086226
                     18,                 1.4526,                 2.4714,                 1.3047,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0085365,              0.0085365,              0.0085365
                     19,                 1.3695,                 2.0871,                 1.2015,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0084504,              0.0084504,              0.0084504
                     20,                 1.2598,                 2.1891,                 1.1467,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0083643,              0.0083643,              0.0083643
                     21,                 1.2897,                 2.0911,                 1.1798,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082783,              0.0082783,              0.0082783
                     22,                  1.215,                 1.9931,                 1.0849,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0081922,              0.0081922,              0.0081922
