                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2849,                 121.75,                 1.6638,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0829,                 0.0019,                 0.0019
                      1,                 2.5621,                 54.855,                 1.8694,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.064861,              0.0038614,              0.0038614
                      2,                 2.5311,                 13.798,                 1.8052,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046783,              0.0057832,              0.0057832
                      3,                 1.9719,                 7.0866,                 1.5335,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.028665,              0.0076654,              0.0076654
                      4,                 1.7023,                 5.1887,                 1.4524,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.010508,               0.009508,               0.009508
                      5,                  1.786,                 8.3598,                 1.4101,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009505,               0.009505,               0.009505
                      6,                 1.6518,                 3.7692,                 1.4176,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009505,               0.009505,               0.009505
                      7,                  1.475,                 3.9164,                 1.2898,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.1404,                 14.138,                0.96665,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.7513,                 4.9926,                  1.417,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009208,               0.009208,               0.009208
                     10,                  1.456,                 3.0298,                 1.1995,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.3915,                 3.0607,                 1.0408,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.3389,                  2.576,                 1.0254,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.4225,                 2.3233,                 1.2272,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008812,               0.008812,               0.008812
                     14,                  1.562,                 2.8432,                 1.2434,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008713,               0.008713,               0.008713
